tweet_id,disaster_type,Event type,Relevance
'592069245728641025',Earthquake,empathy,Not Relevant
'591991826418008065',Earthquake,empathy,Not Relevant
'591910948878725121',Earthquake,empathy,Not Relevant
'591963223974387715',Earthquake,empathy,Not Relevant
'591993989085024256',Earthquake,empathy,Not Relevant
'591963236678774785',Earthquake,empathy,Not Relevant
'592068969332396032',Earthquake,empathy,Not Relevant
'592067841328812033',Earthquake,empathy,Not Relevant
'591906736438513664',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'592084940394749952',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'592070697570054144',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'591963275409121282',Earthquake,empathy,Not Relevant
'592070248033038336',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'591913871809589249',Earthquake,empathy,Not Relevant
'592087505530277888',Earthquake,empathy,Not Relevant
'592070279746170880',Earthquake,empathy,Not Relevant
'592069581688205312',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'592071695357251584',Earthquake,empathy,Not Relevant
'591918332082655233',Earthquake,empathy,Not Relevant
'591929005382705152',Earthquake,empathy,Not Relevant
221934953,Hurricane,empathy,Not Relevant
'591910084583825408',Earthquake,empathy,Not Relevant
'592071380633559040',Earthquake,empathy,Not Relevant
'592087335208103936',Earthquake,empathy,Not Relevant
'592076814329257985',Earthquake,empathy,Not Relevant
'591919201452838912',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'591963571971555328',Earthquake,empathy,Not Relevant
'592068265393790976',Earthquake,empathy,Not Relevant
'592077029849341952',Earthquake,empathy,Not Relevant
'591907253239820288',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'592070319759822848',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'592068088457076737',Earthquake,empathy,Not Relevant
'592068107155415040',Earthquake,empathy,Not Relevant
'591907293014466561',Earthquake,empathy,Not Relevant
'592070324180639744',Earthquake,empathy,Not Relevant
'591962565166542850',Earthquake,empathy,Not Relevant
'591909503563538433',Earthquake,empathy,Not Relevant
'591994272196464640',Earthquake,empathy,Not Relevant
'592069614768627712',Earthquake,empathy,Not Relevant
'592067993544237058',Earthquake,empathy,Not Relevant
'591915523564294144',Earthquake,empathy,Not Relevant
'592074423852662784',Earthquake,empathy,Not Relevant
'592072516908093440',Earthquake,empathy,Not Relevant
221935099,Hurricane,empathy,Not Relevant
'591963796706492416',Earthquake,empathy,Not Relevant
'591992889313460224',Earthquake,empathy,Not Relevant
'592071772532441088',Earthquake,empathy,Not Relevant
'592073335728668672',Earthquake,empathy,Not Relevant
'591906113408274432',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'591903330449907712',Earthquake,empathy,Not Relevant
'591964011979264000',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'592070392572997632',Earthquake,empathy,Not Relevant
'591987863643815936',Earthquake,empathy,Not Relevant
'592073940111069184',Earthquake,empathy,Not Relevant
'591904807025188864',Earthquake,empathy,Not Relevant
'592074229446746112',Earthquake,empathy,Not Relevant
'591918243549454336',Earthquake,empathy,Not Relevant
'591910321213812737',Earthquake,empathy,Not Relevant
'591912747132166144',Earthquake,empathy,Not Relevant
'591963593366753280',Earthquake,empathy,Not Relevant
'591918704595636224',Earthquake,empathy,Not Relevant
'592069837628821505',Earthquake,empathy,Not Relevant
'591919264124178432',Earthquake,empathy,Not Relevant
'592071343614590977',Earthquake,empathy,Not Relevant
'591919963847307264',Earthquake,empathy,Not Relevant
'592075954417205248',Earthquake,empathy,Not Relevant
'591960778636328960',Earthquake,empathy,Not Relevant
'592073197568262145',Earthquake,empathy,Not Relevant
'591962840489164802',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'591961518251450368',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'591921835408793600',Earthquake,empathy,Not Relevant
'592075804760264704',Earthquake,empathy,Not Relevant
'592082984066555907',Earthquake,empathy,Not Relevant
'591918229985095680',Earthquake,empathy,Not Relevant
'591917867592880129',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'592083748105097217',Earthquake,empathy,Not Relevant
'591917639850655744',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'592070669724160000',Earthquake,empathy,Not Relevant
'592071378104365056',Earthquake,empathy,Not Relevant
'592074018875781120',Earthquake,empathy,Not Relevant
'592067876967690240',Earthquake,empathy,Not Relevant
'592073437838909440',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'592076434753122304',Earthquake,empathy,Not Relevant
'592072787398909952',Earthquake,empathy,Not Relevant
'591963851094130688',Earthquake,empathy,Not Relevant
'591919324182532097',Earthquake,empathy,Not Relevant
'592070689005305859',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'591961067091136513',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'591910118851129345',Earthquake,empathy,Not Relevant
'591909837744701440',Earthquake,empathy,Not Relevant
'592073269026672642',Earthquake,empathy,Not Relevant
'592113327578423298',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'591910863960834048',Earthquake,empathy,Not Relevant
'591991131874918400',Earthquake,empathy,Not Relevant
592151102331744257',Earthquake,empathy,Not Relevant
'592069899574378496',Earthquake,empathy,Not Relevant
'591918640494063616',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'591912900303818752',Earthquake,empathy,Not Relevant
'592088410778546177',Earthquake,empathy,Not Relevant
'592067852330373120',Earthquake,empathy,Not Relevant
'592084590963073026',Earthquake,empathy,Not Relevant
'591915841714671616',Earthquake,empathy,Not Relevant
'591916206224846848',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'591917429510410240',Earthquake,empathy,Not Relevant
'592076489971113984',Earthquake,empathy,Not Relevant
'592076491510321152',Earthquake,empathy,Not Relevant
'591919727322255360',Earthquake,empathy,Not Relevant
221935041,Hurricane,empathy,Not Relevant
'591906241238077440',Earthquake,empathy,Not Relevant
'592075169599979521',Earthquake,empathy,Not Relevant
'592071936768806912',Earthquake,empathy,Not Relevant
'591977989132259329',Earthquake,empathy,Not Relevant
'592103220564099072',Earthquake,empathy,Not Relevant
'592072360607490048',Earthquake,empathy,Not Relevant
'592070618306187265',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'591920480505868288',Earthquake,empathy,Not Relevant
'591920648588505088',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'592086442828046339',Earthquake,empathy,Not Relevant
'592086386846670850',Earthquake,empathy,Not Relevant
'592086335906775040',Earthquake,empathy,Not Relevant
'591915111998173184',Earthquake,empathy,Not Relevant
'592086887638167552',Earthquake,empathy,Not Relevant
'591919708003299328',Earthquake,empathy,Not Relevant
'592102682527043585',Earthquake,empathy,Not Relevant
'592073565358292993',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'591916534387191808',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'592075310142742528',Earthquake,empathy,Not Relevant
'592074468287217664',Earthquake,empathy,Not Relevant
'592074857216548864',Earthquake,empathy,Not Relevant
'591921822968385536',Earthquake,empathy,Not Relevant
'592071940493471744',Earthquake,empathy,Not Relevant
'592075753849749504',Earthquake,empathy,Not Relevant
'592075728369225728',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'591911677022572545',Earthquake,empathy,Not Relevant
'592100219765919744',Earthquake,empathy,Not Relevant
'592075817288638464',Earthquake,empathy,Not Relevant
'592084839647596544',Earthquake,empathy,Not Relevant
'592075301770919936',Earthquake,empathy,Not Relevant
221935007,Hurricane,empathy,Not Relevant
'591915922371280896',Earthquake,empathy,Not Relevant
'592085002810171392',Earthquake,empathy,Not Relevant
'592085194833842176',Earthquake,empathy,Not Relevant
'591915408409501697',Earthquake,empathy,Not Relevant
'511556757798146048',Hurricane,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'592085366888239104',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'592071556622233600',Earthquake,empathy,Not Relevant
'592072212053663744',Earthquake,empathy,Not Relevant
'591915757946167296',Earthquake,empathy,Not Relevant
'591914741473357824',Earthquake,empathy,Not Relevant
'591916033734225920',Earthquake,empathy,Not Relevant
'592071668933136384',Earthquake,empathy,Not Relevant
'592070693988143104',Earthquake,empathy,Not Relevant
'592075182635810816',Earthquake,empathy,Not Relevant
'591991115596857345',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'592075511049920513',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'591919961754447872',Earthquake,empathy,Not Relevant
'592076601061310464',Earthquake,empathy,Not Relevant
'592073126856392705',Earthquake,empathy,Not Relevant
'591964011710849025',Earthquake,empathy,Not Relevant
221934954,Hurricane,empathy,Not Relevant
'591914962878013440',Earthquake,empathy,Not Relevant
'591916047483076608',Earthquake,empathy,Not Relevant
'591921569531695104',Earthquake,empathy,Not Relevant
'511488708525449216',Hurricane,empathy,Not Relevant
'592072078490112001',Earthquake,empathy,Not Relevant
'592074659048239104',Earthquake,empathy,Not Relevant
'591918419206770688',Earthquake,empathy,Not Relevant
'592073746422300672',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'591961049290571776',Earthquake,empathy,Not Relevant
'592075135495995392',Earthquake,empathy,Not Relevant
'591920306639343616',Earthquake,empathy,Not Relevant
'592085790944964608',Earthquake,empathy,Not Relevant
'591963344610856961',Earthquake,empathy,Not Relevant
'591911577550516224',Earthquake,empathy,Not Relevant
'592072132689014784',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'592071937465135104',Earthquake,empathy,Not Relevant
'591908085070856192',Earthquake,empathy,Not Relevant
'592075955834900480',Earthquake,empathy,Not Relevant
'592075988735041538',Earthquake,empathy,Not Relevant
'592074261117804545',Earthquake,empathy,Not Relevant
'591961164529053696',Earthquake,empathy,Not Relevant
'591991610285494272',Earthquake,empathy,Not Relevant
'592074135402061824',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'591919896214265857',Earthquake,empathy,Not Relevant
'591919764303269889',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'592074148173762561',Earthquake,empathy,Not Relevant
'592073297455517696',Earthquake,empathy,Not Relevant
'591961255805616128',Earthquake,empathy,Not Relevant
'591918767355109376',Earthquake,empathy,Not Relevant
'591913828733988864',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'591963543655882752',Earthquake,empathy,Not Relevant
'592070122820509696',Earthquake,empathy,Not Relevant
'591909655523254272',Earthquake,empathy,Not Relevant
'591987486672461824',Earthquake,empathy,Not Relevant
'591995294767816706',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'591919663266693121',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'591910870361354241',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'591916097827278848',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'592083192267427840',Earthquake,empathy,Not Relevant
'592085999230005248',Earthquake,empathy,Not Relevant
'591993375299010560',Earthquake,empathy,Not Relevant
'591911951208353793',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'591962578286350338',Earthquake,empathy,Not Relevant
'591962593423728640',Earthquake,empathy,Not Relevant
'591962350720327680',Earthquake,empathy,Not Relevant
'591960801063346176',Earthquake,empathy,Not Relevant
'592109013728276481',Earthquake,empathy,Not Relevant
'591962628261597184',Earthquake,empathy,Not Relevant
'591992718412226561',Earthquake,empathy,Not Relevant
'591993923582627840',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'591964079180226561',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'591976370441420802',Earthquake,empathy,Not Relevant
'592070240743231488',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'591962547349278720',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'591916196242563072',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'592085089061855232',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'591963091836928000',Earthquake,empathy,Not Relevant
'592069636306259968',Earthquake,empathy,Not Relevant
'591962531159252992',Earthquake,empathy,Not Relevant
'591919041008291840',Earthquake,empathy,Not Relevant
'591918998243127297',Earthquake,empathy,Not Relevant
'592077248024436736',Earthquake,empathy,Not Relevant
'592068774502760449',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'591986833191407617',Earthquake,empathy,Not Relevant
'591986570716127232',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'591920044579233792',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
221934980,Hurricane,empathy,Not Relevant
'592068917582893056',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'592068860846559232',Earthquake,empathy,Not Relevant
'591962627393236992',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'591921563143839745',Earthquake,empathy,Not Relevant
'592076197594591232',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'592085999703990272',Earthquake,empathy,Not Relevant
'591920044579233792',Earthquake,empathy,Not Relevant
'591909472315920384',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'592068246779645952',Earthquake,empathy,Not Relevant
'592068824368680961',Earthquake,empathy,Not Relevant
'591987837592997888',Earthquake,empathy,Not Relevant
'591990033978122240',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'591963729392214016',Earthquake,empathy,Not Relevant
221935094,Hurricane,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'592076065696157697',Earthquake,empathy,Not Relevant
'591918208501690368',Earthquake,empathy,Not Relevant
'591913829363294209',Earthquake,empathy,Not Relevant
'592087790856318976',Earthquake,empathy,Not Relevant
221935013,Hurricane,empathy,Not Relevant
'592088205010325505',Earthquake,empathy,Not Relevant
'591910468165337089',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'591910678551666688',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'592086724764934144',Earthquake,empathy,Not Relevant
'592086411630800897',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'592074294190014464',Earthquake,empathy,Not Relevant
'592132304681758720',Earthquake,empathy,Not Relevant
'591960781866049537',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'591962309301379075',Earthquake,empathy,Not Relevant
'592073928471805952',Earthquake,empathy,Not Relevant
'591961789409165313',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'591913499661619201',Earthquake,empathy,Not Relevant
'592073757058990080',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'592086403862827008',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,empathy,Not Relevant
'592088897984696320',Earthquake,empathy,Not Relevant
9.01E+17,Hurricane,immigration,Not Relevant
9.01E+17,Hurricane,immigration,Not Relevant
9.01E+17,Hurricane,immigration,Not Relevant
9.01E+17,Hurricane,immigration,Not Relevant
9.01E+17,Hurricane,immigration,Not Relevant
9.01E+17,Hurricane,immigration,Not Relevant
9.01E+17,Hurricane,immigration,Not Relevant
9.01E+17,Hurricane,immigration,Not Relevant
9.01E+17,Hurricane,information dissemination,Not Relevant
9.01E+17,Hurricane,information dissemination,Not Relevant
9.01E+17,Hurricane,information dissemination,Not Relevant
'592088613174804481',Earthquake,information dissemination,Not Relevant
9.01E+17,Hurricane,information dissemination,Not Relevant
9.01E+17,Hurricane,information dissemination,Not Relevant
9.01E+17,Hurricane,information dissemination,Not Relevant
9.01E+17,Hurricane,information dissemination,Not Relevant
9.01E+17,Hurricane,information dissemination,Not Relevant
9.01E+17,Hurricane,information dissemination,Not Relevant
9.01E+17,Hurricane,information dissemination,Not Relevant
9.01E+17,Hurricane,information dissemination,Not Relevant
'592085094162165760',Earthquake,information dissemination,Not Relevant
9.01E+17,Hurricane,information dissemination,Not Relevant
9.01E+17,Hurricane,information dissemination,Not Relevant
'592084232534556672',Earthquake,information dissemination,Not Relevant
9.01E+17,Hurricane,information dissemination,Not Relevant
9.01E+17,Hurricane,information dissemination,Not Relevant
'592069037607247872',Earthquake,information dissemination,Not Relevant
221935024,Hurricane,information dissemination,Not Relevant
221934957,Hurricane,information dissemination,Not Relevant
9.01E+17,Hurricane,information dissemination,Not Relevant
'591919960139563008',Earthquake,information dissemination,Not Relevant
9.01E+17,Hurricane,information dissemination,Not Relevant
'592071984273444864',Earthquake,information dissemination,Not Relevant
'591964898537660417',Earthquake,information dissemination,Not Relevant
221935022,Hurricane,information dissemination,Not Relevant
221935112,Hurricane,information dissemination,Not Relevant
221935030,Hurricane,information dissemination,Not Relevant
221934943,Hurricane,information dissemination,Not Relevant
221935020,Hurricane,information dissemination,Not Relevant
9.01E+17,Hurricane,information dissemination,Not Relevant
'592101496835149827',Earthquake,information dissemination,Not Relevant
9.01E+17,Hurricane,information dissemination,Not Relevant
9.01E+17,Hurricane,information dissemination,Not Relevant
9.01E+17,Hurricane,information dissemination,Not Relevant
'592108782622126080',Earthquake,information dissemination,Not Relevant
'592069123607293952',Earthquake,information dissemination,Not Relevant
'592071074034032640',Earthquake,information dissemination,Not Relevant
'592076459520458753',Earthquake,information dissemination,Not Relevant
9.01E+17,Hurricane,information dissemination,Not Relevant
9.01E+17,Hurricane,information dissemination,Not Relevant
'591996245062733824',Earthquake,information dissemination,Not Relevant
9.01E+17,Hurricane,inquiry,Not Relevant
'592076522133057536',Earthquake,inquiry,Not Relevant
'592087286059110401',Earthquake,inquiry,Not Relevant
'591915360128872449',Earthquake,inquiry,Not Relevant
221935082,Hurricane,inquiry,Not Relevant
9.01E+17,Hurricane,inquiry,Not Relevant
'591920012648144896',Earthquake,inquiry,Not Relevant
'592129313048145920',Earthquake,inquiry,Not Relevant
'591962607738839040',Earthquake,inquiry,Not Relevant
9.01E+17,Hurricane,inquiry,Not Relevant
221935045,Hurricane,inquiry,Not Relevant
'592110234539270145',Earthquake,inquiry,Not Relevant
'592087477592129536',Earthquake,inquiry,Not Relevant
9.01E+17,Hurricane,inquiry,Not Relevant
'592086599409737728',Earthquake,inquiry,Not Relevant
9.01E+17,Hurricane,inquiry,Not Relevant
'592086168625352706',Earthquake,inquiry,Not Relevant
9.01E+17,Hurricane,inquiry,Not Relevant
9.01E+17,Hurricane,inquiry,Not Relevant
221934955,Hurricane,inquiry,Not Relevant
9.01E+17,Hurricane,inquiry,Not Relevant
9.01E+17,Hurricane,inquiry,Not Relevant
221934970,Hurricane,inquiry,Not Relevant
'592074690400780288',Earthquake,inquiry,Not Relevant
'592071841704910848',Earthquake,inquiry,Not Relevant
'592084646504112128',Earthquake,inquiry,Not Relevant
'591910527992991744',Earthquake,inquiry,Not Relevant
'592075768722776064',Earthquake,inquiry,Not Relevant
'592110989388226560',Earthquake,inquiry,Not Relevant
9.01E+17,Hurricane,inquiry,Not Relevant
'591963874091507712',Earthquake,inquiry,Not Relevant
'592075341147037697',Earthquake,inquiry,Not Relevant
221935092,Hurricane,inquiry,Not Relevant
'592126002857291776',Earthquake,inquiry,Not Relevant
9.01E+17,Hurricane,inquiry,Not Relevant
'511545273806770178',Hurricane,inquiry,Not Relevant
'591994740574269440',Earthquake,inquiry,Not Relevant
9.01E+17,Hurricane,inquiry,Not Relevant
'592071454251880449',Earthquake,inquiry,Not Relevant
'592147833421058048',Earthquake,inquiry,Not Relevant
9.01E+17,Hurricane,inquiry,Not Relevant
221934976,Hurricane,inquiry,Not Relevant
9.01E+17,Hurricane,inquiry,Not Relevant
9.01E+17,Hurricane,inquiry,Not Relevant
9.01E+17,Hurricane,inquiry,Not Relevant
9.01E+17,Hurricane,inquiry,Not Relevant
9.01E+17,Hurricane,inquiry,Not Relevant
9.01E+17,Hurricane,inquiry,Not Relevant
'592072499652886528',Earthquake,inquiry,Not Relevant
'591998586776322048',Earthquake,inquiry,Not Relevant
9.01E+17,Hurricane,inquiry,Not Relevant
221935068,Hurricane,life,Not Relevant
221935079,Hurricane,life,Not Relevant
'592091489531928576',Earthquake,memories,Not Relevant
'592138298492985345',Earthquake,memories,Not Relevant
'592146397551468544',Earthquake,memories,Not Relevant
'511482284130959360',Hurricane,news,Not Relevant
9.01E+17,Hurricane,news,Not Relevant
9.01E+17,Hurricane,news,Not Relevant
9.01E+17,Hurricane,news,Not Relevant
