tweet_id,disaster_type,Event type,Relevance,urgency
221935028,Hurricane,damage,Relevant,Urgent
'591912029767618560',Earthquake,damage,Relevant,Urgent
'592107255379660800',Earthquake,damage,Relevant,Urgent
'592087669867347969',Earthquake,damage,Relevant,Urgent
221934964,Hurricane,damage,Relevant,Urgent
'511486468330508290',Hurricane,damage,Relevant,Urgent
'592073164177289216',Earthquake,damage,Relevant,Urgent
'591906128654565376',Earthquake,damage,Relevant,Urgent
'511486318699102209',Hurricane,damage,Relevant,Urgent
'592084508423270400',Earthquake,damage,Relevant,Urgent
9.01E+17,Hurricane,damage,Relevant,Urgent
'591909782220484608',Earthquake,damage,Relevant,Urgent
'591914565291511808',Earthquake,damage,Relevant,Urgent
'591907032774508544',Earthquake,damage,Relevant,Urgent
221934973,Hurricane,damage,Relevant,Urgent
'511556387022053376',Hurricane,damage,Relevant,Urgent
221934983,Hurricane,damage,Relevant,Urgent
221935012,Hurricane,damage,Relevant,Urgent
221934969,Hurricane,damage,Relevant,Urgent
9.01E+17,Hurricane,damage,Relevant,Urgent
'591909466561470464',Earthquake,damage,Relevant,Urgent
'511556579636686850',Hurricane,damage,Relevant,Urgent
'511557081904599040',Hurricane,damage,Relevant,Urgent
'592143872643366912',Earthquake,damage,Relevant,Urgent
'591903131505659904',Earthquake,damage,Relevant,Urgent
221935034,Hurricane,damage,Relevant,Urgent
'511552456950423552',Hurricane,damage,Relevant,Urgent
221935032,Hurricane,damage,Relevant,Urgent
'511552814393212929',Hurricane,damage,Relevant,Urgent
'511487530651615232',Hurricane,damage,Relevant,Urgent
'511554152279715840',Hurricane,damage,Relevant,Urgent
'511552365250367488',Hurricane,damage,Relevant,Urgent
221935035,Hurricane,damage,Relevant,Urgent
'511560102516899841',Hurricane,damage,Relevant,Urgent
221934988,Hurricane,damage,Relevant,Urgent
'591908832336433153',Earthquake,damage,Relevant,Urgent
'591914646631620608',Earthquake,damage,Relevant,Urgent
221935090,Hurricane,damage,Relevant,Urgent
'511487814694088704',Hurricane,damage,Relevant,Urgent
'511555357668544512',Hurricane,damage,Relevant,Urgent
'592085002269151233',Earthquake,damage,Relevant,Urgent
'511555071944187904',Hurricane,damage,Relevant,Urgent
'591909952479891457',Earthquake,damage,Relevant,Urgent
'592140779692236800',Earthquake,damage,Relevant,Urgent
221934950,Hurricane,damage,Relevant,Urgent
221935001,Hurricane,damage,Relevant,Urgent
'591912704547381248',Earthquake,damage,Relevant,Urgent
'591908737545175040',Earthquake,damage,Relevant,Urgent
'592089407752122368',Earthquake,damage,Relevant,Urgent
'591914518508339200',Earthquake,damage,Relevant,Urgent
'591904774938759168',Earthquake,damage,Relevant,Urgent
221935044,Hurricane,damage,Relevant,Urgent
221934926,Hurricane,damage,Relevant,Urgent
221934960,Hurricane,damage,Relevant,Urgent
'592086493209985024',Earthquake,damage,Relevant,Urgent
'591915696998735872',Earthquake,damage,Relevant,Urgent
'511557159071805440',Hurricane,damage,Relevant,Urgent
'592150568061120512',Earthquake,damage,Relevant,Urgent
'511559044570828800',Hurricane,damage,Relevant,Urgent
221934961,Hurricane,damage,Relevant,Urgent
'591912578974031872',Earthquake,damage,Relevant,Urgent
'592074037733425152',Earthquake,damage,Relevant,Urgent
'592075999086448643',Earthquake,damage,Relevant,Urgent
9.01E+17,Hurricane,damage,Relevant,Urgent
'592076184885821440',Earthquake,damage,Relevant,Urgent
'592071480567066626',Earthquake,damage,Relevant,Urgent
'511489510840889344',Hurricane,damage,Relevant,Urgent
9.01E+17,Hurricane,damage,Relevant,Urgent
'511551588570525697',Hurricane,damage,Relevant,Urgent
'511481898250801152',Hurricane,damage,Relevant,Urgent
'591920026841526273',Earthquake,damage,Relevant,Urgent
'591961748229357568',Earthquake,damage,Relevant,Urgent
'511547267644686336',Hurricane,damage,Relevant,Urgent
'592072929300512769',Earthquake,damage,Relevant,Urgent
'592071393543528449',Earthquake,damage,Relevant,Urgent
'592071405224656896',Earthquake,damage,Relevant,Urgent
'592072700128002048',Earthquake,damage,Relevant,Urgent
'592072698626383872',Earthquake,damage,Relevant,Urgent
'511489482030190592',Hurricane,damage,Relevant,Urgent
'511489194439737345',Hurricane,damage,Relevant,Urgent
'511488794517073920',Hurricane,damage,Relevant,Urgent
'591963085851664384',Earthquake,damage,Relevant,Urgent
'592070987539034112',Earthquake,damage,Relevant,Urgent
9.01E+17,Hurricane,damage,Relevant,Urgent
'591961829728882689',Earthquake,damage,Relevant,Urgent
9.01E+17,Hurricane,damage,Relevant,Urgent
'511501666454355969',Hurricane,damage,Relevant,Urgent
'591962041314877440',Earthquake,damage,Relevant,Urgent
'511543100842328064',Hurricane,damage,Relevant,Urgent
'511543346313957376',Hurricane,damage,Relevant,Urgent
'511546773840490496',Hurricane,damage,Relevant,Urgent
'511497421244092416',Hurricane,damage,Relevant,Urgent
9.01E+17,Hurricane,damage,Relevant,Urgent
'511545443311177729',Hurricane,damage,Relevant,Urgent
'511545838993432577',Hurricane,damage,Relevant,Urgent
'511544611718717440',Hurricane,damage,Relevant,Urgent
9.01E+17,Hurricane,damage,Relevant,Urgent
9.01E+17,Hurricane,damage,Relevant,Urgent
'511538673020854272',Hurricane,damage,Relevant,Urgent
'591918554426920960',Earthquake,damage,Relevant,Urgent
'511506035295932416',Hurricane,damage,Relevant,Urgent
'591918937157304322',Earthquake,damage,Relevant,Urgent
'511539474124128257',Hurricane,damage,Relevant,Urgent
'511546724842627072',Hurricane,damage,Relevant,Urgent
'592077082915696640',Earthquake,damage,Relevant,Urgent
'511549533893840896',Hurricane,damage,Relevant,Urgent
'511548961208139776',Hurricane,damage,Relevant,Urgent
'511548165477388288',Hurricane,damage,Relevant,Urgent
'592083939805798400',Earthquake,damage,Relevant,Urgent
'511501810293420032',Hurricane,damage,Relevant,Urgent
'511497621853048832',Hurricane,damage,Relevant,Urgent
'592076882486677504',Earthquake,damage,Relevant,Urgent
'511489881646702592',Hurricane,damage,Relevant,Urgent
9.01E+17,Hurricane,damage,Relevant,Urgent
'591961418041135104',Earthquake,damage,Relevant,Urgent
'592068281076318208',Earthquake,damage,Relevant,Urgent
'592072795577667584',Earthquake,damage,Relevant,Urgent
9.01E+17,Hurricane,damage,Relevant,Urgent
9.01E+17,Hurricane,damage,Relevant,Urgent
'591986481926901760',Earthquake,damage,Relevant,Urgent
9.01E+17,Hurricane,damage,Relevant,Urgent
'511534231114510336',Hurricane,damage,Relevant,Urgent
'511546008262569985',Hurricane,damage,Relevant,Urgent
'591920317678755840',Earthquake,damage,Relevant,Urgent
'511504955421646851',Hurricane,damage,Relevant,Urgent
'511488937148162048',Hurricane,damage,Relevant,Urgent
'511485734327713792',Hurricane,damage,Relevant,Urgent
'592072881594576896',Earthquake,damage,Relevant,Urgent
'592069648528580608',Earthquake,damage,Relevant,Urgent
'592068929926799360',Earthquake,damage,Relevant,Urgent
'591907705998200833',Earthquake,damage,Relevant,Urgent
'511486674749390848',Hurricane,damage,Relevant,Urgent
'591910068385353728',Earthquake,damage,Relevant,Urgent
'591907197820370944',Earthquake,damage,Relevant,Urgent
9.01E+17,Hurricane,damage,Relevant,Urgent
9.01E+17,Hurricane,damage,Relevant,Urgent
9.01E+17,Hurricane,damage,Relevant,Urgent
'591918280757145601',Earthquake,damage,Relevant,Urgent
'511546716160806912',Hurricane,damage,Relevant,Urgent
'511544623336919040',Hurricane,damage,Relevant,Urgent
221935104,Hurricane,damage,Relevant,Urgent
'511545402437287936',Hurricane,damage,Relevant,Urgent
'511488438584225792',Hurricane,damage,Relevant,Urgent
221935005,Hurricane,damage,Relevant,Urgent
221934963,Hurricane,damage,Relevant,Urgent
9.01E+17,Hurricane,damage,Relevant,Urgent
'511489614629322752',Hurricane,damage,Relevant,Urgent
'511488427242827776',Hurricane,damage,Relevant,Urgent
9.01E+17,Hurricane,damage,Relevant,Urgent
9.01E+17,Hurricane,damage,Relevant,Urgent
221935019,Hurricane,damage,Relevant,Urgent
221935026,Hurricane,damage,Relevant,Urgent
'511487131198709760',Hurricane,damage,Relevant,Urgent
'591910810332463105',Earthquake,damage,Relevant,Urgent
'591909985598189569',Earthquake,damage,Relevant,Urgent
'591917422401073152',Earthquake,damage,Relevant,Urgent
'591913939564265472',Earthquake,damage,Relevant,Urgent
'511488443403481088',Hurricane,damage,Relevant,Urgent
'511530880880234497',Hurricane,damage,Relevant,Urgent
'591918661427810304',Earthquake,damage,Relevant,Urgent
'511517955167756289',Hurricane,damage,Relevant,Urgent
9.01E+17,Hurricane,damage,Relevant,Urgent
9.01E+17,Hurricane,damage,Relevant,Urgent
'591918318874861568',Earthquake,damage,Relevant,Urgent
'591917976040951808',Earthquake,damage,Relevant,Urgent
'591919196763656193',Earthquake,damage,Relevant,Urgent
'511537264183508992',Hurricane,damage,Relevant,Urgent
'511539214689656835',Hurricane,damage,Relevant,Urgent
'591919786935857152',Earthquake,damage,Relevant,Urgent
'591911124360110080',Earthquake,damage,Relevant,Urgent
'511486115506036736',Hurricane,damage,Relevant,Urgent
'511489818665435136',Hurricane,damage,Relevant,Urgent
'511489170221461504',Hurricane,damage,Relevant,Urgent
'591913842470432769',Earthquake,damage,Relevant,Urgent
'511487317656502273',Hurricane,damage,Relevant,Urgent
9.01E+17,Hurricane,damage,Relevant,Urgent
'591918526140706816',Earthquake,damage,Relevant,Urgent
'591920477523812352',Earthquake,damage,Relevant,Urgent
'591960244647043072',Earthquake,damage,Relevant,Urgent
'511487012767928321',Hurricane,damage,Relevant,Urgent
'511487980411060226',Hurricane,damage,Relevant,Urgent
'511489680672825344',Hurricane,damage,Relevant,Urgent
'591920443482705920',Earthquake,damage,Relevant,Urgent
'591911365557620736',Earthquake,damage,Relevant,Urgent
'511489601949540352',Hurricane,damage,Relevant,Urgent
'511487080665743360',Hurricane,damage,Relevant,Urgent
'511489516318650368',Hurricane,damage,Relevant,Urgent
'591911400693485568',Earthquake,damage,Relevant,Urgent
'511489522660823040',Hurricane,damage,Relevant,Urgent
'511486276483420160',Hurricane,damage,Relevant,Urgent
'511486236117450752',Hurricane,damage,Relevant,Urgent
'591921814118338560',Earthquake,damage,Relevant,Urgent
'511486213736628224',Hurricane,damage,Relevant,Urgent
'591921814147878913',Earthquake,damage,Relevant,Urgent
'592084768403030017',Earthquake,damage,Relevant,Urgent
'591911255729786880',Earthquake,damage,Relevant,Urgent
'591921788956889089',Earthquake,damage,Relevant,Urgent
9.01E+17,Hurricane,damage,Relevant,Urgent
'592074006854897664',Earthquake,damage,Relevant,Urgent
221934968,Hurricane,damage,Relevant,Urgent
9.01E+17,Hurricane,damage,Relevant,Urgent
9.01E+17,Hurricane,damage,Relevant,Urgent
'591915757887426560',Earthquake,damage,Relevant,Urgent
9.01E+17,Hurricane,damage,Relevant,Urgent
'591962520933433346',Earthquake,damage,Relevant,Urgent
'591962621970092032',Earthquake,damage,Relevant,Urgent
'591909053728628737',Earthquake,damage,Relevant,Urgent
'591915589335134209',Earthquake,damage,Relevant,Urgent
221935120,Hurricane,damage,Relevant,Urgent
9.01E+17,Hurricane,damage,Relevant,Urgent
'592070707531513856',Earthquake,damage,Relevant,Urgent
9.01E+17,Hurricane,damage,Relevant,Urgent
'591916203884482560',Earthquake,damage,Relevant,Urgent
'592085622271148033',Earthquake,damage,Relevant,Urgent
221935113,Hurricane,damage,Relevant,Urgent
'591907127112945664',Earthquake,damage,Relevant,Urgent
'591916216366800898',Earthquake,damage,Relevant,Urgent
9.01E+17,Hurricane,damage,Relevant,Urgent
'591912626088595456',Earthquake,damage,Relevant,Urgent
221934989,Hurricane,damage,Relevant,Urgent
9.01E+17,Hurricane,damage,Relevant,Urgent
'511556350673829888',Hurricane,damage,Relevant,Urgent
9.01E+17,Hurricane,damage,Relevant,Urgent
9.01E+17,Hurricane,damage,Relevant,Urgent
9.01E+17,Hurricane,damage,Relevant,Urgent
'511497917870272512',Hurricane,damage,Relevant,Urgent
'591917456387616768',Earthquake,damage,Relevant,Urgent
'511499284223496192',Hurricane,damage,Relevant,Urgent
'591919649421271041',Earthquake,damage,Relevant,Urgent
9.01E+17,Hurricane,damage,Relevant,Urgent
'591919383804387328',Earthquake,damage,Relevant,Urgent
'591919167885942784',Earthquake,damage,Relevant,Urgent
9.01E+17,Hurricane,damage,Relevant,Urgent
'591911617916444672',Earthquake,damage,Relevant,Urgent
'511541675370369024',Hurricane,damage,Relevant,Urgent
'511481629932785664',Hurricane,damage,Relevant,Urgent
'591908714279481344',Earthquake,damage,Relevant,Urgent
'511481866415648768',Hurricane,damage,Relevant,Urgent
'511484906279415808',Hurricane,damage,Relevant,Urgent
221935072,Hurricane,damage,Relevant,Urgent
'591962049636335616',Earthquake,damage,Relevant,Urgent
9.01E+17,Hurricane,damage,Relevant,Urgent
'591912387030163456',Earthquake,damage,Relevant,Urgent
9.01E+17,Hurricane,damage,Relevant,Urgent
'511540361324687360',Hurricane,damage,Relevant,Urgent
'511503001513906176',Hurricane,damage,Relevant,Urgent
'592086155870531584',Earthquake,damage,Relevant,Urgent
221934942,Hurricane,damage,Relevant,Urgent
'591919444319961088',Earthquake,damage,Relevant,Urgent
'511498785151647744',Hurricane,damage,Relevant,Urgent
'591912821870301186',Earthquake,damage,Relevant,Urgent
'511499714051989504',Hurricane,damage,Relevant,Urgent
'592074743135608834',Earthquake,damage,Relevant,Urgent
'591911756273856512',Earthquake,damage,Relevant,Urgent
'591910555230851072',Earthquake,damage,Relevant,Urgent
'591914665514508288',Earthquake,damage,Relevant,Urgent
'511488492250365952',Hurricane,damage,Relevant,Urgent
'591907246356959232',Earthquake,damage,Relevant,Urgent
'592077407139590144',Earthquake,damage,Relevant,Urgent
'591919172721971200',Earthquake,damage,Relevant,Urgent
221935101,Hurricane,damage,Relevant,Urgent
'591915020298096640',Earthquake,damage,Relevant,Urgent
'591906719099420672',Earthquake,damage,Relevant,Urgent
'591915011594911744',Earthquake,damage,Relevant,Urgent
'591915481461760002',Earthquake,damage,Relevant,Urgent
'591915479691702272',Earthquake,damage,Relevant,Urgent
'511561617591791616',Hurricane,damage,Relevant,Urgent
'591906190529028096',Earthquake,damage,Relevant,Urgent
'591910774840414208',Earthquake,damage,Relevant,Urgent
'591963542842114048',Earthquake,damage,Relevant,Urgent
9.01E+17,Hurricane,damage,Relevant,Urgent
'591912047366918144',Earthquake,damage,Relevant,Urgent
9.01E+17,Hurricane,damage,Relevant,Urgent
'591912082062249985',Earthquake,damage,Relevant,Urgent
221935056,Hurricane,damage,Relevant,Urgent
'591963270279364608',Earthquake,damage,Relevant,Urgent
'592071371032780800',Earthquake,damage,Relevant,Urgent
'511501464607281152',Hurricane,damage,Relevant,Urgent
'592072643496423424',Earthquake,damage,Relevant,Urgent
'591918971827388416',Earthquake,damage,Relevant,Urgent
'591912051288576001',Earthquake,damage,Relevant,Urgent
'511505880668700673',Hurricane,damage,Relevant,Urgent
'591914184033566720',Earthquake,damage,Relevant,Urgent
'511504981837348864',Hurricane,damage,Relevant,Urgent
221934940,Hurricane,damage,Relevant,Urgent
221935078,Hurricane,damage,Relevant,Urgent
221935036,Hurricane,damage,Relevant,Urgent
'511487458379190273',Hurricane,damage,Relevant,Urgent
'511558301499523072',Hurricane,damage,Relevant,Urgent
'511497195234000896',Hurricane,damage,Relevant,Urgent
'511550264440930304',Hurricane,damage,Relevant,Urgent
'511500969591709696',Hurricane,damage,Relevant,Urgent
'511488323723223040',Hurricane,damage,Relevant,Urgent
221935110,Hurricane,damage,Relevant,Urgent
9.01E+17,Hurricane,damage,Relevant,Urgent
'592131813012873216',Earthquake,damage,Relevant,Urgent
'591996734198263808',Earthquake,damage,Relevant,Urgent
'592072705316380672',Earthquake,damage,Relevant,Urgent
9.01E+17,Hurricane,damage,Relevant,Urgent
9.01E+17,Hurricane,damage,Relevant,Urgent
'591961661570945024',Earthquake,damage,Relevant,Urgent
'591920256739909632',Earthquake,damage,Relevant,Urgent
'591912156985204736',Earthquake,damage,Relevant,Urgent
'591911807851233280',Earthquake,damage,Relevant,Urgent
9.01E+17,Hurricane,damage,Relevant,Urgent
'511552631525765120',Hurricane,damage,Relevant,Urgent
221935105,Hurricane,damage,Relevant,Urgent
221934946,Hurricane,damage,Relevant,Urgent
'511485752266739712',Hurricane,damage,Relevant,Urgent
'592084816884994048',Earthquake,damage,Relevant,Urgent
'511552910954889216',Hurricane,damage,Relevant,Urgent
'511552294047850496',Hurricane,damage,Relevant,Urgent
'511488716863332352',Hurricane,damage,Relevant,Urgent
'511539693926629376',Hurricane,damage,Relevant,Urgent
'591918865761734656',Earthquake,damage,Relevant,Urgent
'591914452762501120',Earthquake,damage,Relevant,Urgent
'591914738990350337',Earthquake,damage,Relevant,Urgent
'591914732380033024',Earthquake,damage,Relevant,Urgent
'591916027790786561',Earthquake,damage,Relevant,Urgent
221935098,Hurricane,damage,Relevant,Urgent
'591915292118290432',Earthquake,damage,Relevant,Urgent
9.01E+17,Hurricane,damage,Relevant,Urgent
'592082929574109184',Earthquake,damage,Relevant,Urgent
'592083158482493440',Earthquake,damage,Relevant,Urgent
'511489818099195904',Hurricane,damage,Relevant,Urgent
221935071,Hurricane,damage,Relevant,Urgent
'591904385828950017',Earthquake,die,Relevant,Urgent
'592072508377059329',Earthquake,die,Relevant,Urgent
'592069241932783616',Earthquake,die,Relevant,Urgent
'591919632295931905',Earthquake,die,Relevant,Urgent
'592117004355665920',Earthquake,die,Relevant,Urgent
'591907490956062720',Earthquake,die,Relevant,Urgent
'592087038062563329',Earthquake,die,Relevant,Urgent
'592068594520887296',Earthquake,die,Relevant,Urgent
'592110147247284224',Earthquake,die,Relevant,Urgent
'592135777540276224',Earthquake,die,Relevant,Urgent
'592087960583073792',Earthquake,die,Relevant,Urgent
'591921682161491968',Earthquake,die,Relevant,Urgent
'592069177462120448',Earthquake,die,Relevant,Urgent
'592069860240162816',Earthquake,die,Relevant,Urgent
'591919256658440192',Earthquake,die,Relevant,Urgent
'591960807950286848',Earthquake,die,Relevant,Urgent
'592071034142097410',Earthquake,die,Relevant,Urgent
'592074333218013185',Earthquake,die,Relevant,Urgent
221934985,Hurricane,die,Relevant,Urgent
'592085641955037184',Earthquake,die,Relevant,Urgent
'592073025614393344',Earthquake,die,Relevant,Urgent
221935037,Hurricane,die,Relevant,Urgent
'591915378424619008',Earthquake,die,Relevant,Urgent
'592145269472493568',Earthquake,die,Relevant,Urgent
'592076992553455616',Earthquake,die,Relevant,Urgent
221934930,Hurricane,die,Relevant,Urgent
221934975,Hurricane,die,Relevant,Urgent
'591914090479554560',Earthquake,die,Relevant,Urgent
'592086258467221505',Earthquake,die,Relevant,Urgent
221935048,Hurricane,die,Relevant,Urgent
221935073,Hurricane,die,Relevant,Urgent
'591962774139338753',Earthquake,die,Relevant,Urgent
'591907384877973504',Earthquake,die,Relevant,Urgent
'592076947359956992',Earthquake,die,Relevant,Urgent
'591915422758412289',Earthquake,die,Relevant,Urgent
'591912615405719552',Earthquake,die,Relevant,Urgent
'592073412316639232',Earthquake,die,Relevant,Urgent
'592077348012359680',Earthquake,die,Relevant,Urgent
'591910414444863488',Earthquake,die,Relevant,Urgent
221935115,Hurricane,die,Relevant,Urgent
'592074189814665216',Earthquake,die,Relevant,Urgent
'592073605002895360',Earthquake,die,Relevant,Urgent
'592147508735774720',Earthquake,die,Relevant,Urgent
'592103586798014464',Earthquake,die,Relevant,Urgent
'591921910738325505',Earthquake,die,Relevant,Urgent
'591911051307810817',Earthquake,die,Relevant,Urgent
'592084807602962433',Earthquake,die,Relevant,Urgent
'591911106475614208',Earthquake,die,Relevant,Urgent
'591910317615091713',Earthquake,die,Relevant,Urgent
'591976978372169729',Earthquake,die,Relevant,Urgent
'591906251300151297',Earthquake,die,Relevant,Urgent
'591979908982673408',Earthquake,die,Relevant,Urgent
'591914347401748480',Earthquake,die,Relevant,Urgent
'591915082717732864',Earthquake,die,Relevant,Urgent
'591913907540885504',Earthquake,die,Relevant,Urgent
'592085953365340162',Earthquake,die,Relevant,Urgent
'591921549046755328',Earthquake,die,Relevant,Urgent
'591921426870964224',Earthquake,die,Relevant,Urgent
'592083468265365505',Earthquake,die,Relevant,Urgent
'592083807336996865',Earthquake,die,Relevant,Urgent
'592113406775164928',Earthquake,die,Relevant,Urgent
'591910259549044736',Earthquake,die,Relevant,Urgent
221935050,Hurricane,die,Relevant,Urgent
'591913970602221568',Earthquake,die,Relevant,Urgent
'592147382705516544',Earthquake,die,Relevant,Urgent
221935074,Hurricane,die,Relevant,Urgent
'591914996860203009',Earthquake,die,Relevant,Urgent
'591920514915897344',Earthquake,die,Relevant,Urgent
'591912511751892992',Earthquake,die,Relevant,Urgent
'592100152300544000',Earthquake,die,Relevant,Urgent
'591910662865100801',Earthquake,die,Relevant,Urgent
'592134211605110785',Earthquake,die,Relevant,Urgent
